Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,Wave,2020,18600,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12200000
Yamaha,Exciter,2016,45000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21800000
Yamaha,Cuxi,2011,21000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17900000
Honda,Dòng khác,2015,50000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,78000000
Honda,Wave,2012,22000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6800000
Honda,Future,2023,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18000000
SYM,Shark,2010,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7500000
Honda,Sonic,2020,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,30000000
Hãng khác,Dòng khác,2021,5000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,1234567
Yamaha,Exciter,2011,9400,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28000000
Honda,Air Blade,2012,6398,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11500000
Suzuki,Sport / Xipo,2013,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,42000000
Honda,Vision,2014,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15500000
Honda,Vision,2017,34000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22300000
Honda,SH,2017,47659,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,75000000
Piaggio,Vespa,2023,3000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,75000000
